Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"12,6 tỷ","28A, Đường 297, Phường Phước Long B, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",4 phòng,4 WC,3,Tây Bắc,Tây Bắc,Sổ hồng
"8,5 tỷ","TP. Thủ Đức - Quận 9, TP.HCM","Biệt thự, Villa","75 m² (5,0x15,0)",4 phòng,3 WC,3,Tây Bắc,Tây Bắc,Sổ hồng
"1,55 tỷ","Đường số 7, Phường Long Trường, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","75 m² (5,0x15,0)",N/A,N/A,N/A,N/A,N/A,Hợp đồng mua bán
"14,5 tỷ","204, Đường Man Thiện, Phường Tăng Nhơn Phú A, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,236 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,15 tỷ","Đường Lê Văn Việt, Phường Long Thạnh Mỹ, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ",66 m²,N/A,N/A,N/A,N/A,N/A,Sổ đỏ
2 tỷ,"Đường Lê Văn Việt, Phường Long Thạnh Mỹ, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ",66 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
22 tỷ,"TP. Thủ Đức - Quận 9, TP.HCM","Biệt thự, Villa","180 m² (10,0x18,0)",5 phòng,6 WC,N/A,Đông,Đông,Sổ hồng
"9,8 tỷ","Đường số 10, Phường Phước Bình, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,87 m²,N/A,N/A,N/A,N/A,Tây,Sổ hồng
"42,5 tỷ","Đường Liên Phường, Phường Phước Long B, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"158 m² (8,5x20,0)",5 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"2,39 tỷ","Đường Lê Văn Việt, Phường Hiệp Phú, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","65,7 m² (4,5x14,6)",4 phòng,3 WC,4,N/A,N/A,Sổ hồng
"3,95 tỷ","Đường 160, Phường Tăng Nhơn Phú A, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
19 tỷ,"Đường Nam Cao, Phường Tân Phú, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"220,7 m²",3 phòng,2 WC,N/A,N/A,Đông Bắc,Sổ đỏ
"1,95 tỷ","Đường Trương Văn Thành, Phường Tân Phú, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","80 m² (5,0x16,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
25 tỷ,"Đường Liên Phường, Phường Phước Long B, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"25,9 tỷ","Đường Liên Phường, Phường Phước Long B, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"140 m² (7,0x20,0)",4 phòng,4 WC,3,N/A,Đông Bắc,Sổ hồng
980 triệu,"Đường Lê Văn Việt, Phường Tăng Nhơn Phú A, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","64 m² (4,0x16,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
980 triệu,"Đường Đỗ Xuân Hợp, Phường Phước Long B, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","64 m² (4,0x16,0)",3 phòng,3 WC,2,N/A,N/A,Sổ hồng
"1,13 tỷ","Đường Lê Văn Việt, Phường Hiệp Phú, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","65 m² (5,0x13,0)",3 phòng,3 WC,1,N/A,N/A,Sổ hồng
3 tỷ,"Đường Tăng Nhơn Phú, Phường Phước Long B, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","122,5 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,8 tỷ","Đường Đỗ Xuân Hợp, Phường Phước Long B, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","40 m² (4,0x11,0)",4 phòng,2 WC,2,N/A,N/A,Sổ hồng
992 triệu,"Đường 18, Phường Phước Bình, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","54 m² (4,0x13,5)",3 phòng,2 WC,1,N/A,N/A,Sổ hồng
17 tỷ,"TP. Thủ Đức - Quận 9, TP.HCM","Biệt thự, Villa","171,5 m² (11,0x17,0)",4 phòng,4 WC,N/A,Đông Nam,Đông Bắc,Sổ hồng
40 tỷ,"Đường Hoàng Hữu Nam, Phường Tân Phú, TP. Thủ Đức - Quận 9, TP.HCM","Biệt thự, Villa","865,1 m² (19,0x46,0)",9 phòng,10 WC,2,N/A,N/A,Sổ hồng
"8,3 tỷ","Đường Đỗ Xuân Hợp, Phường Phước Long B, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ",72 m²,7 phòng,8 WC,4,N/A,N/A,Sổ hồng
815 triệu,"Đường Lê Văn Việt, Phường Tăng Nhơn Phú A, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","67 m² (5,0x13,4)",3 phòng,3 WC,1,N/A,N/A,Sổ hồng
13 tỷ,"Đường Tân Lập 1, Phường Hiệp Phú, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"150 m² (6,0x25,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
13 tỷ,"TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"125 m² (5,0x23,0)",4 phòng,5 WC,N/A,Tây Nam,Tây Nam,Sổ hồng
25 tỷ,"TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",7 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"3,8 tỷ","79/10, Đường Nguyễn Thị Tư, Phường Phú Hữu, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","52 m² (4,5x11,5)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
"7,5 tỷ","Đường 970, Phường Phú Hữu, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","84,8 m² (6,0x13,7)",4 phòng,3 WC,3,N/A,N/A,Sổ hồng
"4,5 tỷ","Đường Thủy Lợi, Phường Phước Long A, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"76 m² (4,0x19,0)",2 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
"21,8 tỷ","Đường Đỗ Xuân Hợp, Phường Phước Long B, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"131 m² (5,2x25,0)",4 phòng,3 WC,3,N/A,N/A,Sổ hồng
"4,15 tỷ","624/48/7, Đường Lã Xuân Oai, Phường Long Trường, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"62,2 m² (11,4x5,5)",4 phòng,4 WC,2,Đông Bắc,Đông Bắc,Sổ hồng
"4,3 tỷ","Đường Nguyễn Duy Trinh, Phường Long Trường, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","55,2 m²",N/A,N/A,2,N/A,N/A,Sổ đỏ
"7,2 tỷ","Đường Đỗ Xuân Hợp, Phường Phước Long B, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ",70 m²,4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"3,25 tỷ","Đường Đỗ Xuân Hợp, Phường Phước Bình, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ",80 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"34,5 tỷ","Đường Liên Phường, Phường Phước Long B, TP. Thủ Đức - Quận 9, TP.HCM","Biệt thự, Villa",254 m²,N/A,N/A,N/A,N/A,N/A,Sổ đỏ
83 tỷ,"Đường Võ Văn Hát, Phường Long Trường, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","3.470 m² (53,0x66,0)",80 phòng,85 WC,4,N/A,N/A,Sổ hồng
"2,3 tỷ","Đường Trương Văn Thành, Phường Hiệp Phú, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
"8,5 tỷ","Đường Nam Hòa, Phường Phước Long A, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"128 m² (5,5x24,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"12,6 tỷ","Đường Đỗ Xuân Hợp, Phường Phước Long B, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",5 phòng,4 WC,4,N/A,N/A,Sổ hồng
"12,8 tỷ","Đường Hoàng Hữu Nam, Phường Long Thạnh Mỹ, TP. Thủ Đức - Quận 9, TP.HCM","Biệt thự, Villa","240 m² (10,0x24,0)",4 phòng,6 WC,N/A,N/A,Bắc,Sổ hồng
"3,2 tỷ","Đường số 2, Phường Tăng Nhơn Phú B, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","36 m² (4,0x10,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"2,98 tỷ","Đường Đỗ Xuân Hợp, Phường Phước Long A, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ",50 m²,2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"5,39 tỷ","Đường Lò Lu, Phường Trường Thạnh, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"52 m² (4,0x13,0)",4 phòng,4 WC,3,N/A,N/A,Sổ hồng
"3,1 tỷ","Đường D5A, Phường Phước Long A, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
21 tỷ,"F26, F26, TP. Thủ Đức - Quận 9, TP.HCM","Biệt thự, Villa","150 m² (10,0x15,0)",3 phòng,4 WC,3,Nam,Nam,Sổ hồng
"2,68 tỷ","Đường Nam Cao, Phường Tân Phú, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","44 m² (4,0x11,0)",2 phòng,3 WC,1,N/A,N/A,Sổ hồng
"4,9 tỷ","Đường 160, Phường Tăng Nhơn Phú A, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"68 m² (4,1x16,0)",3 phòng,2 WC,2,Tây Nam,Tây Nam,Sổ đỏ
"5,5 tỷ","Đường Gò Cát, Phường Phú Hữu, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","55 m² (4,3x13,0)",4 phòng,5 WC,2,N/A,N/A,Sổ hồng
12 tỷ,"Đường Võ Văn Hát, Phường Long Trường, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"197,6 m² (11,0x19,0)",14 phòng,14 WC,N/A,N/A,Tây Bắc,Sổ hồng
22 tỷ,"Đường Ngô Quyền, Phường Hiệp Phú, TP. Thủ Đức - Quận 9, TP.HCM",Nhà mặt tiền,"220 m² (6,0x36,0)",2 phòng,1 WC,1,N/A,Đông Bắc,Sổ đỏ
880 triệu,"Đường Lê Văn Việt, Phường Hiệp Phú, TP. Thủ Đức - Quận 9, TP.HCM","Nhà hẻm, ngõ","62 m² (4,5x14,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
