Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"3,49 tỷ","Đường Đinh Bộ Lĩnh, Phường 15, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","22 m² (3,9x6,0)",2 phòng,2 WC,N/A,N/A,Tây Nam,Sổ hồng
"5,6 tỷ","117/155A, Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","63 m² (5,0x15,0)",4 phòng,3 WC,2,N/A,Tây Bắc,Sổ hồng
"18,5 tỷ","117/5/28, Đường Phan Văn Hân, Phường 17, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","197,1 m²",N/A,N/A,2,N/A,N/A,Sổ hồng
"3,8 tỷ","Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","32 m² (4,0x8,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"4,95 tỷ","Đường Bạch Đằng, Phường 15, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","33 m² (3,0x15,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"5,75 tỷ","Đường Phạm Văn Đồng, Phường 11, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","45 m² (4,5x10,0)",2 phòng,2 WC,1,Đông Nam,Đông Nam,Sổ hồng
"10,9 tỷ","Đường Hoàng Hoa Thám, Phường 5, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","85 m² (8,2x10,0)",6 phòng,7 WC,5,N/A,N/A,Sổ hồng
57 tỷ,"Đường Lê Quang Định, Phường 5, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"296 m² (7,5x31,0)",5 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"11,2 tỷ","Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","84 m² (4,2x20,0)",5 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
5 tỷ,"Đường Nơ Trang Long, Phường 7, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","47 m² (2,7x20,0)",3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"13,5 tỷ","Đường Chu Văn An, Phường 12, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","83 m² (4,0x20,0)",15 phòng,16 WC,N/A,N/A,N/A,Sổ hồng
