Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
12 tỷ,"Đường Lê Đình Quản, Phường Cát Lái, TP. Thủ Đức - Quận 2, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26 tỷ,"Đường 59, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","117 m² (4,6x9,2)",5 phòng,6 WC,N/A,Tây,Tây,Sổ hồng
"4,7 tỷ","Đường số 3, Phường Cát Lái, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"74 m² (4,0x18,0)",N/A,N/A,1,N/A,N/A,Sổ hồng
"29,5 tỷ","15/1, Đường 13, Phường An Khánh, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","256 m² (11,0x24,0)",14 phòng,N/A,N/A,N/A,N/A,Sổ hồng
45 tỷ,"5, Đường 33, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"200 m² (10,0x20,0)",N/A,N/A,4,N/A,Tây Nam,Sổ hồng
"22,5 tỷ","Đường 4, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",4 phòng,N/A,3,N/A,N/A,Sổ hồng
"18,2 tỷ","Đường 31C, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",N/A,N/A,N/A,N/A,Tây Bắc,Sổ hồng
"4,89 tỷ","Đường số 47, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ",60 m²,4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
135 tỷ,"Đường Nguyễn Thanh Sơn, Phường Thạnh Mỹ Lợi, TP. Thủ Đức - Quận 2, TP.HCM","Biệt thự, Villa",320 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"36,5 tỷ","Đường Cao Đức Lân, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"160 m² (8,0x20,0)",12 phòng,12 WC,N/A,N/A,N/A,Sổ hồng
43 tỷ,"TP. Thủ Đức - Quận 2, TP.HCM","Biệt thự, Villa","163 m² (7,1x23,0)",4 phòng,5 WC,N/A,Đông Bắc,Đông Bắc,Sổ hồng
"19,8 tỷ","72A, Đường Thạnh Mỹ Lợi, Phường Thạnh Mỹ Lợi, TP. Thủ Đức - Quận 2, TP.HCM","Biệt thự, Villa",167 m²,4 phòng,4 WC,3,N/A,N/A,Sổ hồng
27 tỷ,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"186 m² (6,6x28,0)",4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
26 tỷ,"Đường An Phú, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",4 phòng,4 WC,3,Tây Bắc,Tây Bắc,Sổ hồng
45 tỷ,"Đường Vũ Tông Phan, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"200 m² (10,0x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
36 tỷ,"26, Đường 25, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"161 m² (7,0x23,0)",N/A,N/A,4,N/A,Tây Bắc,Sổ hồng
"17,2 tỷ","69, Đường số 47, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"101,4 m²",N/A,N/A,1,N/A,N/A,Sổ hồng
25 tỷ,"TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",5 phòng,6 WC,N/A,N/A,N/A,Sổ hồng
"3,6 tỷ","Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ",55 m²,2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"3,5 tỷ","Đường Nguyễn Thị Định, Phường Thạnh Mỹ Lợi, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ",58 m²,3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
9 tỷ,"Đường 31B, Phường Bình Trưng Tây, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"74,3 m² (5,2x14,3)",5 phòng,6 WC,N/A,N/A,Tây Bắc,Sổ hồng
"11,9 tỷ","Đường Nguyễn Thị Định, Phường Thạnh Mỹ Lợi, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","168 m² (7,0x24,0)",7 phòng,7 WC,N/A,N/A,N/A,Sổ hồng
75 tỷ,"Đường Vũ Tông Phan, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"185 m² (10,0x18,5)",N/A,N/A,N/A,Đông Nam,Đông Nam,Sổ hồng
40 tỷ,"Đường Nguyễn Hoàng, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"160 m² (10,0x16,0)",5 phòng,5 WC,N/A,Đông Nam,Đông Nam,Sổ hồng
11 tỷ,"Đường AA, Phường Bình Trưng Đông, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,125 m²,6 phòng,7 WC,N/A,N/A,N/A,Sổ hồng
"7,8 tỷ","Đường số 11, Phường Bình Trưng Đông, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,73 m²,4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"3,5 tỷ","Đường số 7, Phường Thạnh Mỹ Lợi, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ",38 m²,2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
35 tỷ,"Đường Trần Não, Phường An Khánh, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"160 m² (8,0x20,0)",6 phòng,6 WC,5,N/A,N/A,Sổ hồng
"17,5 tỷ","Đường Bùi Tá Hán, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",5 phòng,5 WC,N/A,N/A,Tây,Sổ hồng
210 triệu,"Đường Vành Đai Tây, Phường An Khánh, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"71 m² (3,5x20,0)",N/A,N/A,N/A,N/A,Đông Nam,Sổ đỏ
22 tỷ,"Đường Nguyễn Thị Định, Phường Bình Trưng Tây, TP. Thủ Đức - Quận 2, TP.HCM","Biệt thự, Villa","310 m² (12,0x26,0)",6 phòng,6 WC,N/A,N/A,N/A,Sổ hồng
"6,4 tỷ","Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","52 m² (4,0x13,0)",4 phòng,4 WC,3,Bắc,Bắc,Sổ hồng
"8,2 tỷ","Đường Lê Văn Thịnh, Phường Cát Lái, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","95 m² (4,5x18,0)",3 phòng,2 WC,3,N/A,N/A,Sổ hồng
"6,5 tỷ","Đường Lê Văn Thịnh, Phường Cát Lái, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","65 m² (6,5x10,0)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
"6,4 tỷ","Đường số 28, Phường Cát Lái, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","63 m² (5,0x14,0)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
17 tỷ,"2x, Đường Thạnh Mỹ Lợi, Phường Thạnh Mỹ Lợi, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"142 m² (5,0x30,6)",4 phòng,5 WC,4,Đông,Đông,Sổ đỏ
"1,86 tỷ","Đường Trần Não, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"3,99 tỷ","Đường Xuân Thuỷ, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","67,5 m² (4,5x15,0)",3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"1,25 tỷ","Đường Nguyễn Thị Định, Phường Bình Trưng Tây, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","60 m² (5,0x12,0)",3 phòng,3 WC,1,N/A,N/A,Sổ hồng
65 tỷ,"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"305 m² (15,0x25,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,25 tỷ","Đường Nguyễn Thị Định, Phường Bình Trưng Tây, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,76 m²,4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
165 tỷ,"Đường Quốc Hương, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM","Biệt thự, Villa","1.100 m² (22,0x55,0)",5 phòng,7 WC,N/A,N/A,Đông Nam,Sổ hồng
14 tỷ,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, TP. Thủ Đức - Quận 2, TP.HCM","Biệt thự, Villa","220 m² (9,0x26,0)",5 phòng,5 WC,1,N/A,N/A,Sổ hồng
100 tỷ,"Đường Quốc Hương, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"258,4 m² (6,8x38,0)",N/A,N/A,7,N/A,N/A,Sổ hồng
52 tỷ,"123, 123, TP. Thủ Đức - Quận 2, TP.HCM","Biệt thự, Villa",330 m²,N/A,N/A,3,N/A,N/A,Hợp đồng mua bán
6 tỷ,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","105 m² (6,0x17,5)",2 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
24 tỷ,"Đường Bình Trưng, Phường Cát Lái, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"256 m² (8,0x33,0)",3 phòng,2 WC,N/A,Bắc,Bắc,Sổ hồng
3.150 tỷ,"70/, Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","56 m² (5,0x11,0)",2 phòng,2 WC,2,Tây,Tây,Sổ hồng
31 tỷ,"Đường Thân Văn Nhiếp, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"130 m² (7,0x21,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,7 tỷ","Đường Nguyễn Thị Định, Phường Bình Trưng Tây, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","60 m² (5,0x12,0)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
"10,7 tỷ","Đường AA, Phường Bình Trưng Tây, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"75 m² (5,0x15,0)",3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"2,45 tỷ","3, Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
26 tỷ,"Đường 59, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM","Biệt thự, Villa","117 m² (4,6x9,2)",5 phòng,N/A,2,N/A,N/A,Sổ hồng
100 tỷ,"123, Đường Nguyễn Văn Hưởng, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"498 m² (17,0x28,0)",7 phòng,6 WC,N/A,N/A,Đông Nam,Sổ hồng
"7,5 tỷ","Đường Lê Đình Quản, Phường Cát Lái, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,72 m²,3 phòng,2 WC,N/A,N/A,Tây,Sổ hồng
"6,5 tỷ","Đường Lê Văn Thịnh, Phường Cát Lái, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","65 m² (6,5x10,0)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
"2,9 tỷ","Đường Nguyễn Trung Nguyệt, Phường Bình Trưng Tây, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
40 tỷ,"Đường Trương Văn Bang, Phường Thạnh Mỹ Lợi, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"135 m² (7,0x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"4,55 tỷ","Đường 12, Phường Bình An, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","68 m² (4,0x17,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
34 tỷ,"Đường Thảo Điền, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"110 m² (10,0x12,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
13 tỷ,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"193 m² (12,0x17,0)",5 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"51,9 tỷ","Đường Nguyễn Văn Hưởng, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM","Biệt thự, Villa","363 m² (14,0x26,0)",5 phòng,4 WC,N/A,N/A,Đông Nam,Sổ hồng
"2,86 tỷ","Đường Lương Định Của, Phường Bình An, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ",48 m²,2 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
38 tỷ,"Đường Trần Não, Phường Bình An, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"130 m² (5,3x29,0)",2 phòng,2 WC,N/A,N/A,Tây,Sổ hồng
999 tỷ,"Đường Quốc Hương, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM","Biệt thự, Villa","3.200 m² (40,0x80,0)",9 phòng,10 WC,2,N/A,Bắc,Sổ hồng
24 tỷ,"Đường 30, Phường Cát Lái, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,256 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
90 tỷ,"Đường Thảo Điền, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM","Biệt thự, Villa","500 m² (20,0x25,0)",5 phòng,6 WC,N/A,N/A,Nam,Sổ hồng
860 triệu,"Đường Lương Định Của, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","65 m² (5,0x13,0)",3 phòng,3 WC,1,N/A,N/A,Sổ hồng
"8,5 tỷ","Đường Thạnh Mỹ Lợi, Phường Thạnh Mỹ Lợi, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ","78 m² (4,2x18,6)",4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
150 tỷ,"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"1.250 m² (25,0x50,0)",N/A,N/A,N/A,N/A,N/A,Sổ đỏ
125 tỷ,"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM","Biệt thự, Villa","307 m² (16,0x20,0)",4 phòng,N/A,3,N/A,N/A,Sổ hồng
"3,98 tỷ","Đường Giang Văn Minh, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM","Nhà hẻm, ngõ",58 m²,4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"5,2 tỷ","Đường Trần Não, Phường An Khánh, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,57 m²,4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
23 tỷ,"Đường Nguyễn Bá Huân, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"68 m² (4,1x17,4)",7 phòng,7 WC,N/A,Đông Bắc,Đông Bắc,Sổ hồng
14 tỷ,"Đường Lê Văn Thịnh, Phường Cát Lái, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"167,8 m² (5,3x33,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"17,5 tỷ","Đường 54, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"69,5 m² (4,0x17,0)",N/A,N/A,2,N/A,N/A,Sổ hồng
40 tỷ,"Đường Tạ Hiện, Phường Thạnh Mỹ Lợi, TP. Thủ Đức - Quận 2, TP.HCM",Nhà mặt tiền,"160 m² (8,0x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
