Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"7,5 tỷ","Đường Lê Hồng Phong, Phường 2, Quận 5, TP.HCM","Nhà hẻm, ngõ","25 m² (3,2x8,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"8,5 tỷ","Đường Lê Hồng Phong, Phường 2, Quận 5, TP.HCM","Nhà hẻm, ngõ","28,2 m² (3,4x8,0)",N/A,N/A,N/A,N/A,Đông Nam,Sổ hồng
25 tỷ,"Đường Nguyễn Trãi, Phường 3, Quận 5, TP.HCM","Nhà hẻm, ngõ",104 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"10,8 tỷ","565/90, Đường Nguyễn Trãi, Phường 7, Quận 5, TP.HCM","Nhà hẻm, ngõ","43 m² (3,3x13,0)",5 phòng,6 WC,4,N/A,N/A,Sổ hồng
26 tỷ,"Đường Trần Tuấn Khải, Phường 5, Quận 5, TP.HCM",Nhà mặt tiền,"75 m² (4,0x19,0)",7 phòng,7 WC,5,N/A,Đông Nam,Sổ hồng
"11,9 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",4 phòng,4 WC,3,N/A,N/A,Sổ hồng
45 tỷ,"Đường Nguyễn Trãi, Phường 3, Quận 5, TP.HCM",Nhà mặt tiền,"82 m² (7,0x12,0)",12 phòng,10 WC,5,N/A,Đông Nam,Sổ hồng
5 tỷ,"188/2K, Đường Cao Đạt, Phường 1, Quận 5, TP.HCM","Nhà hẻm, ngõ","24 m² (3,0x8,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
78 tỷ,"1053, Đường Trần Hưng Đạo, Phường 5, Quận 5, TP.HCM",Nhà mặt tiền,"93 m² (4,6x21,0)",N/A,N/A,4,N/A,N/A,Sổ hồng
"8,9 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, TP.HCM","Nhà hẻm, ngõ","36 m² (4,0x9,0)",4 phòng,4 WC,4,N/A,N/A,Sổ hồng
14 tỷ,"Đường An Bình, Phường 5, Quận 5, TP.HCM","Nhà hẻm, ngõ","88 m² (88,0x11,0)",12 phòng,12 WC,N/A,Tây Nam,Tây Nam,Sổ hồng
"15,5 tỷ","Đường Phù Đổng Thiên Vương, Phường 11, Quận 5, TP.HCM",Nhà mặt tiền,72 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,85 tỷ","Đường Trần Phú, Phường 7, Quận 5, TP.HCM","Nhà hẻm, ngõ","38,4 m² (3,2x12,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ đỏ
9 tỷ,"418, Đường Trần Phú, Phường 7, Quận 5, TP.HCM","Nhà hẻm, ngõ","38,9 m² (3,6x11,0)",6 phòng,3 WC,N/A,N/A,N/A,Sổ đỏ
"3,85 tỷ","Đường Lê Hồng Phong, Phường 10, Quận 5, TP.HCM","Nhà hẻm, ngõ","41 m² (3,6x12,0)",3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"7,4 tỷ","Đường Trần Bình Trọng, Phường 2, Quận 5, TP.HCM","Nhà hẻm, ngõ","48,6 m²",4 phòng,5 WC,2,N/A,N/A,Sổ hồng
960 triệu,"Đường Huỳnh Mẫn Đạt, Phường 3, Quận 5, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",3 phòng,3 WC,2,N/A,N/A,Sổ hồng
"1,15 tỷ","Đường Huỳnh Mẫn Đạt, Phường 3, Quận 5, TP.HCM","Nhà hẻm, ngõ","60 m² (5,0x12,0)",3 phòng,3 WC,1,N/A,N/A,Sổ hồng
"3,7 tỷ","Đường An Dương Vương, Phường 4, Quận 5, TP.HCM","Nhà hẻm, ngõ",18 m²,2 phòng,2 WC,N/A,N/A,N/A,Giấy tờ hợp lệ
