Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
5 tỷ,"46/41/75, Đường Vườn Chuối, Phường 4, Quận 3, TP.HCM","Nhà hẻm, ngõ","30,4 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"5,5 tỷ","Đường Trần Quốc Toản, Phường 8 (Phường Võ Thị Sáu), Quận 3, TP.HCM","Nhà hẻm, ngõ","36 m² (5,0x7,0)",2 phòng,3 WC,3,N/A,Tây Bắc,Sổ hồng
29 tỷ,"5, Đường Nguyễn Thiện Thuật, Phường 2, Quận 3, TP.HCM",Nhà mặt tiền,"44,1 m² (4,2x10,5)",5 phòng,6 WC,6,N/A,N/A,Sổ hồng
"20,8 tỷ","242/121, Đường Nguyễn Thiện Thuật, Phường 3, Quận 3, TP.HCM","Nhà hẻm, ngõ","64 m² (4,0x16,0)",N/A,N/A,3,N/A,Đông Nam,Sổ hồng
"3,88 tỷ","Đường Trần Quang Diệu, Phường 14, Quận 3, TP.HCM","Nhà hẻm, ngõ","58 m² (4,0x14,4)",4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"3,68 tỷ","Đường Lê Văn Sỹ, Phường 11, Quận 3, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",4 phòng,3 WC,2,N/A,N/A,Sổ hồng
"49,5 tỷ","Đường Lê Văn Sỹ, Phường 14, Quận 3, TP.HCM",Nhà mặt tiền,170 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"4,25 tỷ","Đường Trần Quang Diệu, Phường 14, Quận 3, TP.HCM",Nhà mặt tiền,"63 m² (4,5x14,0)",5 phòng,6 WC,3,N/A,N/A,Sổ hồng
"5,4 tỷ","157/10, Đường Trần Văn Đang, Phường 11, Quận 3, TP.HCM","Nhà hẻm, ngõ",36 m²,4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"3,15 tỷ","Đường Nguyễn Đình Chiểu, Phường 6 (Phường Võ Thị Sáu), Quận 3, TP.HCM","Nhà hẻm, ngõ",68 m²,4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"8,3 tỷ","429, Đường Lê Văn Sỹ, Phường 12, Quận 3, TP.HCM","Nhà hẻm, ngõ","51 m² (6,3x10,0)",9 phòng,8 WC,4,N/A,N/A,Sổ hồng
50 triệu,"Đường Điện Biên Phủ, Phường 12, Quận 3, TP.HCM","Nhà hẻm, ngõ",100 m²,N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
49 tỷ,"Đường Lê Văn Sỹ, Phường 14, Quận 3, TP.HCM",Nhà mặt tiền,"135 m² (6,0x24,0)",5 phòng,5 WC,5,N/A,N/A,Sổ hồng
97 tỷ,"Đường Lê Văn Sỹ, Phường 13, Quận 3, TP.HCM",Nhà mặt tiền,"200 m² (13,6x18,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"15,5 tỷ","Đường Cách Mạng Tháng 8, Phường 11, Quận 3, TP.HCM","Nhà hẻm, ngõ","135 m² (5,5x25,0)",6 phòng,5 WC,1,N/A,N/A,Sổ hồng
"4,79 tỷ","Đường Lê Văn Sỹ, Phường 13, Quận 3, TP.HCM","Nhà hẻm, ngõ","94,7 m² (5,0x18,9)",3 phòng,3 WC,1,N/A,N/A,Sổ hồng
"3,5 tỷ","Đường Trần Quang Diệu, Phường 14, Quận 3, TP.HCM","Nhà hẻm, ngõ","49,1 m² (4,0x12,5)",3 phòng,3 WC,2,N/A,N/A,Sổ hồng
"2,18 tỷ","Đường Trần Văn Đang, Phường 11, Quận 3, TP.HCM","Nhà hẻm, ngõ","44 m² (4,0x11,0)",3 phòng,2 WC,2,N/A,N/A,Sổ hồng
19 tỷ,"Đường Lê Văn Sỹ, Phường 13, Quận 3, TP.HCM","Nhà hẻm, ngõ","80 m² (5,0x16,0)",N/A,N/A,4,N/A,N/A,Sổ hồng
"2,55 tỷ","Đường Nguyễn Thượng Hiền, Phường 5, Quận 3, TP.HCM","Nhà hẻm, ngõ","60 m² (5,0x12,0)",3 phòng,2 WC,2,N/A,N/A,Sổ hồng
