Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"3,55 tỷ","Đường Bạch Đằng, Phường 2, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","72 m² (4,5x16,0)",2 phòng,3 WC,1,N/A,N/A,Sổ hồng
"5,2 tỷ","958/54/17/10, Đường Lạc Long Quân, Phường 8, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","42,2 m²",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"8,35 tỷ","Đường Lý Thường Kiệt, Phường 8, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","64,4 m² (6,2x12,0)",N/A,N/A,2,N/A,N/A,Sổ hồng
22 tỷ,"Đường Trương Công Định, Phường 14, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"144 m² (8,0x18,0)",10 phòng,N/A,3,N/A,N/A,Sổ hồng
"2,25 tỷ","Đường Yên Thế, Phường 2, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","41 m² (4,0x10,3)",4 phòng,4 WC,4,N/A,N/A,Sổ hồng
"12,8 tỷ","Đường Ba Vân, Phường 14, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"60 m² (5,0x12,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,79 tỷ","Đường Lê Văn Sỹ, Phường 1, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","60 m² (4,7x12,0)",4 phòng,5 WC,4,N/A,N/A,Sổ hồng
"18,5 tỷ","Đường Cộng Hòa, Phường 4, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","80,3 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"6,68 tỷ","54/25, Đường Đồng Đen, Phường 14, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","39 m² (3,2x12,0)",4 phòng,3 WC,4,N/A,N/A,Sổ hồng
"3,5 tỷ","45/25/63A, Đường Trần Thái Tông, Phường 15, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","45,5 m² (3,2x13,0)",N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
"13,4 tỷ","Đường Lý Thường Kiệt, Phường 9, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"100 m² (4,5x22,0)",2 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
