Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"8,35 tỷ","1C+1D, Đường Thạnh Lộc 49, Phường Thạnh Lộc, Quận 12, TP.HCM","Nhà hẻm, ngõ","150,2 m² (7,5x20,0)",2 phòng,1 WC,1,N/A,Đông Nam,Sổ hồng
"9,15 tỷ","168, Đường Nguyễn Thị Nhuần, Phường An Phú Đông, Quận 12, TP.HCM",Nhà mặt tiền,"100,1 m² (5,0x20,2)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"1,68 tỷ","Đường Thạnh Xuân 14, Phường Thạnh Xuân, Quận 12, TP.HCM","Nhà hẻm, ngõ","39 m² (3,2x13,0)",2 phòng,2 WC,2,Tây,Tây,Hợp đồng mua bán
"5,3 tỷ","Đường Trần Thị Năm, Phường Tân Chánh Hiệp, Quận 12, TP.HCM",Nhà mặt tiền,"80 m² (8,0x10,0)",N/A,N/A,2,N/A,N/A,Sổ hồng
"12,2 tỷ","Đường Hiệp Thành 23, Phường Hiệp Thành, Quận 12, TP.HCM",Nhà mặt tiền,"199 m² (8,0x25,0)",4 phòng,2 WC,1,Tây Nam,Tây Nam,Sổ hồng
7 tỷ,"34/110/3, Đường Võ Thị Thừa, Phường An Phú Đông, Quận 12, TP.HCM","Nhà hẻm, ngõ","82 m² (5,0x17,0)",4 phòng,5 WC,4,N/A,N/A,Sổ hồng
"4,4 tỷ","Đường Tô Ký, Phường Tân Chánh Hiệp, Quận 12, TP.HCM",Nhà mặt tiền,"72,5 m² (5,6x15,0)",1 phòng,2 WC,2,N/A,N/A,Sổ hồng
"7,9 tỷ","Đường Đông Hưng Thuận 11, Phường Đông Hưng Thuận, Quận 12, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,55 tỷ","Đường Dương Thị Mười, Phường Tân Chánh Hiệp, Quận 12, TP.HCM","Nhà hẻm, ngõ","43 m² (4,0x13,0)",3 phòng,1 WC,2,N/A,N/A,Sổ hồng
"2,2 tỷ","Đường Hiệp Thành 45, Phường Hiệp Thành, Quận 12, TP.HCM","Nhà hẻm, ngõ","44 m² (4,0x11,0)",3 phòng,2 WC,1,N/A,N/A,Sổ hồng
8 tỷ,"96/5, Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, TP.HCM","Nhà hẻm, ngõ","175 m² (7,0x25,0)",N/A,N/A,3,N/A,N/A,Sổ hồng
"4,78 tỷ","Đường Đông Hưng Thuận 5, Phường Đông Hưng Thuận, Quận 12, TP.HCM",Nhà mặt tiền,"64,5 m² (5,6x11,0)",N/A,N/A,1,N/A,N/A,Sổ hồng
"1,68 tỷ","Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, TP.HCM","Nhà hẻm, ngõ","80 m² (4,0x20,0)",N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
"2,15 tỷ","Đường Thạnh Lộc 19, Phường Thạnh Lộc, Quận 12, TP.HCM","Nhà hẻm, ngõ","71,8 m² (4,0x18,0)",4 phòng,5 WC,3,N/A,N/A,Sổ hồng
"2,05 tỷ","Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, TP.HCM","Nhà hẻm, ngõ",64 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,15 tỷ","Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, TP.HCM","Nhà hẻm, ngõ","64 m² (4,0x16,0)",4 phòng,4 WC,2,N/A,N/A,Sổ hồng
"2,89 tỷ","Đường Đông Hưng Thuận 41, Phường Tân Hưng Thuận, Quận 12, TP.HCM","Nhà hẻm, ngõ","32 m² (4,0x8,0)",1 phòng,N/A,1,N/A,N/A,Sổ hồng
"1,5 tỷ","Đường Hiệp Thành 35, Phường Hiệp Thành, Quận 12, TP.HCM","Nhà hẻm, ngõ","30,4 m² (3,2x9,5)",2 phòng,2 WC,2,N/A,N/A,Giấy tờ khác
