Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"3,79 tỷ","Đường Nguyễn Bỉnh Khiêm, Phường Bến Nghé, Quận 1, TP.HCM","Nhà hẻm, ngõ","58 m² (4,5x13,0)",4 phòng,4 WC,3,N/A,N/A,Sổ hồng
"19,3 tỷ","Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TP.HCM","Nhà hẻm, ngõ","75 m² (4,0x17,0)",5 phòng,5 WC,4,N/A,N/A,Sổ hồng
"1,15 tỷ","Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, TP.HCM","Nhà hẻm, ngõ","63 m² (5,0x12,6)",3 phòng,3 WC,1,N/A,N/A,Sổ hồng
32 tỷ,"Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, TP.HCM","Nhà hẻm, ngõ","80 m² (4,0x19,0)",N/A,N/A,N/A,N/A,N/A,Sổ đỏ
77 tỷ,"85-87, Đường Ký Con, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Nhà mặt tiền,"160 m² (8,0x20,0)",6 phòng,4 WC,4,N/A,Đông Bắc,Sổ hồng
28 tỷ,"Đường Nguyễn Huy Tự, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,"90,5 m² (4,1x23,5)",1 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
"13,5 tỷ","Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM","Nhà hẻm, ngõ","100 m² (3,8x17,0)",5 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"5,8 tỷ","Đường Đỗ Quang Đẩu, Phường Phạm Ngũ Lão, Quận 1, TP.HCM","Nhà hẻm, ngõ",28 m²,7 phòng,N/A,4,N/A,Đông Nam,Sổ hồng
6 tỷ,"Đường Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, TP.HCM","Nhà hẻm, ngõ","24,4 m² (4,0x10,0)",2 phòng,2 WC,2,N/A,Tây Bắc,Sổ hồng
"3,6 tỷ","Đường Trần Khắc Chân, Phường Tân Định, Quận 1, TP.HCM","Nhà hẻm, ngõ",58 m²,3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
39 tỷ,"5F, Đường Trần Nhật Duật, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"88 m² (5,3x17,0)",5 phòng,5 WC,3,N/A,N/A,Sổ hồng
"3,1 tỷ","Đường Cô Giang, Phường Đa Kao, Quận 1, TP.HCM","Nhà hẻm, ngõ",45 m²,3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"8,6 tỷ","14/3, Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP.HCM","Nhà hẻm, ngõ","35 m² (3,4x10,5)",4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
36 tỷ,"Đường Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
35 tỷ,"Đường Nguyễn Thái Học, Phường Cầu Ông Lãnh, Quận 1, TP.HCM",Nhà mặt tiền,"48 m² (4,0x12,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
