Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"5,9 tỷ","Đường Lương Văn Can, Phường 15, Quận 8, TP.HCM","Nhà hẻm, ngõ",102 m²,N/A,N/A,N/A,N/A,N/A,Sổ đỏ
"3,5 triệu","Đường Dạ Nam, Phường 2, Quận 8, TP.HCM","Nhà hẻm, ngõ","23,8 m² (3,4x7,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,15 tỷ","Đường Phạm Hùng, Phường 4, Quận 8, TP.HCM","Nhà hẻm, ngõ",32 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,65 tỷ","23/15/32, Đường Hồ Thành Biên, Phường 4, Quận 8, TP.HCM","Nhà hẻm, ngõ","28 m² (2,0x14,0)",N/A,N/A,2,N/A,N/A,Sổ hồng
"5,8 tỷ","Đường An Dương Vương, Phường 16, Quận 8, TP.HCM",Nhà mặt tiền,"52 m² (4,0x14,0)",4 phòng,3 WC,4,N/A,N/A,Sổ hồng
"5,4 tỷ","Đường Lưu Hữu Phước, Phường 15, Quận 8, TP.HCM","Nhà hẻm, ngõ","52,9 m² (4,2x13,9)",6 phòng,5 WC,5,N/A,N/A,Sổ hồng
"46,6 tỷ","Đường Lương Văn Can, Phường 15, Quận 8, TP.HCM","Biệt thự, Villa","240 m² (8,0x29,0)",5 phòng,6 WC,N/A,N/A,N/A,Sổ hồng
6 tỷ,"Đường An Dương Vương, Phường 16, Quận 8, TP.HCM",Nhà mặt tiền,"90 m² (4,5x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,1 tỷ","Đường Mễ Cốc, Phường 15, Quận 8, TP.HCM","Nhà hẻm, ngõ","40 m² (4,0x10,0)",4 phòng,3 WC,3,N/A,N/A,Sổ hồng
3 tỷ,"Đường Nguyễn Sĩ Cố, Phường 15, Quận 8, TP.HCM","Nhà hẻm, ngõ","45 m² (3,6x13,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"2,38 tỷ","Đường Dương Bá Trạc, Phường 1, Quận 8, TP.HCM","Nhà hẻm, ngõ",51 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,5 tỷ","Đường Mai Hắc Đế, Phường 15, Quận 8, TP.HCM","Nhà hẻm, ngõ","29 m² (3,5x8,6)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
