Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"5,6 tỷ","Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","64 m² (4,0x16,0)",1 phòng,1 WC,1,N/A,N/A,Sổ hồng
"18,9 tỷ","Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM","Biệt thự, Villa",200 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"9,2 tỷ","Đường Lê Ngã, Phường Phú Trung, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"72 m² (5,1x14,0)",4 phòng,4 WC,4,N/A,N/A,Sổ hồng
14 tỷ,"58, Đường Độc Lập, Phường Tân Thành, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"68,3 m² (3,9x18,0)",2 phòng,2 WC,3,Tây Nam,Tây Nam,Sổ hồng
"8,8 tỷ","Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","100 m² (5,0x21,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"7,39 tỷ","Đường Lê Sao, Phường Phú Thạnh, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"66 m² (3,5x19,0)",2 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
"5,9 tỷ","481/26, Đường Tân Kỳ Tân Quý, Phường Tân Quý, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","52 m² (4,0x13,0)",3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
5 tỷ,"Đường Lý Thánh Tông, Phường Tân Thới Hòa, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","50 m² (4,1x13,5)",N/A,N/A,3,N/A,N/A,Sổ hồng
"7,15 tỷ","Đường Tân Hương, Phường Tân Quý, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ",64 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"9,2 tỷ","Đường Nguyễn Cửu Đàm, Phường Tân Sơn Nhì, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","71,8 m² (4,0x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"11,5 tỷ","Đường Trần Quang Cơ, Phường Phú Thạnh, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"68 m² (4,0x17,0)",5 phòng,5 WC,4,N/A,N/A,Sổ hồng
"15,5 tỷ","584, Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"89,8 m² (6,6x13,6)",N/A,N/A,2,Tây Nam,Tây Nam,Sổ hồng
"10,5 tỷ","Đường Tân Hương, Phường Tân Quý, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"45 m² (4,0x13,6)",1 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"9,7 tỷ","Đường Trần Văn Ơn, Phường Tân Sơn Nhì, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"12,9 tỷ","Đường Nguyễn Cửu Đàm, Phường Tân Sơn Nhì, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"76,5 m² (4,0x19,0)",4 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"14,8 tỷ","Đường Khuông Việt, Phường Phú Trung, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","192 m² (8,0x24,0)",N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
"4,99 tỷ","Đường Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x14,5)",1 phòng,2 WC,N/A,N/A,Tây Bắc,Sổ hồng
"1,38 tỷ","Đường Âu Cơ, Phường Phú Trung, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","26 m² (5,0x2,5)",1 phòng,1 WC,2,Đông Nam,Đông Nam,Sổ đỏ
20 tỷ,"Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"1,73 tỷ","Đường Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú, TP.HCM",Nhà mặt tiền,12 m²,1 phòng,2 WC,1,N/A,N/A,Sổ hồng
27 tỷ,"Đường Dương Đức Hiền, Phường Tây Thạnh, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"162 m² (7,0x24,0)",5 phòng,6 WC,5,Tây,Tây,Sổ hồng
"4,9 tỷ","Đường Nguyễn Súy, Phường Tân Quý, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","44 m² (4,0x11,0)",3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"1,8 tỷ","Đường Lưu Chí Hiếu, Phường Tây Thạnh, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","30 m² (5,0x6,0)",2 phòng,2 WC,N/A,N/A,Tây,Sổ hồng
"3,28 tỷ","Đường Sơn Kỳ, Phường Sơn Kỳ, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"6,95 tỷ","133, Đường Nguyễn Lộ Trạch, Phường Tân Quý, Quận Tân Phú, TP.HCM",Nhà mặt tiền,83 m²,3 phòng,2 WC,2,Đông,Đông,Sổ hồng
"1,95 tỷ","Đường Phú Thọ Hòa, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ",13 m²,2 phòng,2 WC,N/A,Nam,Nam,Sổ hồng
12 tỷ,"Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ",84 m²,6 phòng,6 WC,N/A,N/A,N/A,Sổ hồng
"6,5 tỷ","5, Đường Luỹ Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","42 m² (4,0x10,0)",6 phòng,7 WC,6,N/A,N/A,Sổ hồng
"5,09 tỷ","Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"7,6 tỷ","Đường Tân Kỳ Tân Quý, Phường Tân Quý, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","92 m² (4,2x22,0)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
18 tỷ,"Đường Lê Văn Phan, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","112 m² (5,0x22,5)",28 phòng,28 WC,N/A,N/A,N/A,Sổ hồng
870 triệu,"Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ",58 m²,3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
19 tỷ,"Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","200 m² (8,0x25,0)",1 phòng,N/A,N/A,N/A,N/A,Sổ hồng
23 tỷ,"Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"122,9 m² (5,5x23,0)",7 phòng,N/A,N/A,N/A,Bắc,Sổ hồng
840 triệu,"Đường Nguyễn Cửu Đàm, Phường Tân Sơn Nhì, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","57 m² (4,0x14,0)",3 phòng,3 WC,2,N/A,N/A,Sổ hồng
"1,04 tỷ","Đường Nguyễn Sơn, Phường Phú Thạnh, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","58 m² (4,0x14,5)",3 phòng,3 WC,2,N/A,N/A,Sổ hồng
5 tỷ,"Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ",68 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"1,06 tỷ","Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","54 m² (4,0x13,5)",4 phòng,3 WC,2,N/A,N/A,Sổ hồng
850 triệu,"Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ",58 m²,3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"7,2 tỷ","Đường Tân Kỳ Tân Quý, Phường Tân Quý, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",N/A,N/A,N/A,N/A,Đông,Sổ hồng
880 triệu,"Đường Lũy Bán Bích, Phường Tân Thới Hòa, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ",60 m²,3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
760 triệu,"Đường Nguyễn Nhữ Lãm, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","64 m² (4,0x16,0)",3 phòng,3 WC,1,N/A,N/A,Sổ hồng
870 triệu,"Đường Nguyễn Hữu Tiến, Phường Tây Thạnh, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",3 phòng,3 WC,1,N/A,N/A,Sổ hồng
6 tỷ,"Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","100 m² (7,0x14,0)",4 phòng,4 WC,1,N/A,N/A,Sổ hồng
835 triệu,"Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ",60 m²,3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
950 triệu,"Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","64 m² (4,0x16,0)",3 phòng,3 WC,1,N/A,N/A,Sổ hồng
"3,78 tỷ","17/8/2b, Đường Trần Văn Ơn, Phường Tân Sơn Nhì, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","54 m² (3,2x8,6)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
815 triệu,"Đường Huỳnh Thiện Lộc, Phường Phú Trung, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ",60 m²,3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
980 triệu,"Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","65 m² (5,0x13,0)",3 phòng,3 WC,1,N/A,N/A,Sổ hồng
895 triệu,"Đường Thạch Lam, Phường Hiệp Tân, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ",59 m²,3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"1,68 tỷ","Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, TP.HCM",Nhà mặt tiền,28 m²,2 phòng,2 WC,1,N/A,N/A,Sổ hồng
"1,45 tỷ","Đường Lưu Chí Hiếu, Phường Tây Thạnh, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","20 m² (4,0x5,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"5,7 tỷ","76/94, Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","56 m² (4,8x12,5)",2 phòng,2 WC,2,N/A,N/A,Sổ đỏ
50 triệu,"Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","42 m² (3,5x12,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"5,16 tỷ","Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","59 m² (4,0x15,0)",1 phòng,1 WC,N/A,N/A,Bắc,Sổ hồng
42 tỷ,"Đường Thạch Lam, Phường Phú Thạnh, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"200,3 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
980 triệu,"Đường Tân Hương, Phường Tân Quý, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","61 m² (5,0x12,2)",3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"13,99 tỷ","Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"60 m² (4,4x14,0)",3 phòng,4 WC,3,Nam,Nam,Sổ hồng
870 triệu,"Đường Lê Văn Phan, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","68 m² (5,0x13,6)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
