Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
92 tỷ,"236/10-12, Đường Thái Phiên, Phường 8, Quận 11, TP.HCM","Nhà hẻm, ngõ","770,5 m² (33,0x23,5)",N/A,N/A,1,Bắc,Bắc,Sổ hồng
21 tỷ,"Đường Lê Đại Hành, Phường 11, Quận 11, TP.HCM",Nhà mặt tiền,"51 m² (3,4x15,0)",6 phòng,6 WC,6,N/A,N/A,Sổ hồng
"8,45 tỷ","218, Đường Tôn Thất Hiệp, Phường 8, Quận 11, TP.HCM",Nhà mặt tiền,"32 m² (3,2x10,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"14,45 tỷ","Đường Ông Ích Khiêm, Phường 14, Quận 11, TP.HCM","Nhà hẻm, ngõ",96 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"1,8 tỷ","Đường Lạc Long Quân, Phường 3, Quận 11, TP.HCM","Nhà hẻm, ngõ","12 m² (3,0x4,0)",N/A,N/A,N/A,N/A,N/A,Giấy tờ khác
"5,6 tỷ","Đường Hồng Bàng, Phường 1, Quận 11, TP.HCM","Nhà hẻm, ngõ","32 m² (3,7x9,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"4,2 tỷ","Đường Lạc Long Quân, Phường 1, Quận 11, TP.HCM","Nhà hẻm, ngõ","34 m² (2,7x13,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,89 tỷ","Đường Hàn Hải Nguyên, Phường 11, Quận 11, TP.HCM","Nhà hẻm, ngõ","55 m² (5,0x11,0)",5 phòng,3 WC,3,N/A,N/A,Sổ hồng
"1,92 tỷ","Đường Nguyễn Văn Phú, Phường 5, Quận 11, TP.HCM","Nhà hẻm, ngõ","34,4 m² (4,3x8,0)",2 phòng,1 WC,N/A,N/A,N/A,Sổ đỏ
"5,8 tỷ","Đường Lạc Long Quân, Phường 3, Quận 11, TP.HCM",Nhà mặt tiền,"22,2 m² (4,1x7,1)",N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
30 tỷ,"217, Đường Bình Thới, Phường 9, Quận 11, TP.HCM",Nhà mặt tiền,"75,6 m² (6,8x15,0)",5 phòng,5 WC,5,N/A,Tây Bắc,Sổ hồng
"6,3 tỷ","Đường Bình Thới, Phường 11, Quận 11, TP.HCM","Nhà hẻm, ngõ","40 m² (4,0x10,0)",4 phòng,4 WC,4,N/A,N/A,Sổ hồng
"3,5 tỷ","Đường Lê Đại Hành, Phường 15, Quận 11, TP.HCM","Nhà hẻm, ngõ","36 m² (4,0x9,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
6 tỷ,"Đường Hồng Bàng, Phường 1, Quận 11, TP.HCM","Nhà hẻm, ngõ","61,3 m² (3,1x18,7)",N/A,N/A,N/A,N/A,N/A,Sổ đỏ
"16,5 tỷ","Đường Đỗ Ngọc Thạnh, Phường 4, Quận 11, TP.HCM",Nhà mặt tiền,"60 m² (4,0x15,0)",N/A,N/A,4,N/A,N/A,Sổ hồng
"3,3 tỷ","Đường Âu Cơ, Phường 14, Quận 11, TP.HCM","Nhà hẻm, ngõ",38 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,3 tỷ","Đường Bình Thới, Phường 14, Quận 11, TP.HCM","Nhà hẻm, ngõ",38 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
