Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"8,15 tỷ","5/1, Đường Bà Giang, Phường Linh Xuân, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","120 m² (8,1x14,9)",4 phòng,3 WC,1,Đông,Đông,Sổ hồng
"4,2 tỷ","Đường Linh Xuân, Phường Linh Xuân, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"68 m² (4,0x17,0)",3 phòng,2 WC,N/A,N/A,N/A,Giấy tờ hợp lệ
"3,8 tỷ","Đường Võ Văn Ngân, Phường Linh Chiểu, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","49 m² (4,4x11,5)",2 phòng,2 WC,N/A,N/A,N/A,Giấy tờ hợp lệ
"4,4 tỷ","Đường Kha Vạn Cân, Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ",101 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"49,2 tỷ","Đường Thống Nhất, Phường Bình Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"200 m² (12,0x25,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"7,5 tỷ","74/5A, Đường số 7, Phường Linh Trung, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","64 m² (4,0x16,0)",4 phòng,3 WC,3,Tây Nam,Tây Nam,Sổ hồng
"7,8 tỷ","Đường Quốc Lộ 13, Phường Hiệp Bình Phước, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"100 m² (4,0x25,0)",4 phòng,3 WC,2,N/A,N/A,Sổ hồng
79 tỷ,"157, Đường Đặng Văn Bi, Phường Trường Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"296,4 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,98 tỷ","Đường số 8, Phường Hiệp Bình Phước, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"42 m² (4,0x10,5)",4 phòng,3 WC,3,N/A,N/A,Sổ hồng
"2,55 tỷ","Đường 12, Phường Trường Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"42 m² (4,2x10,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
