Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"17,2 tỷ","Đường Hậu Giang, Phường 12, Quận 6, TP.HCM",Nhà mặt tiền,"93,1 m² (3,5x26,0)",6 phòng,5 WC,N/A,Nam,Nam,Sổ hồng
"3,5 tỷ","1/, Đường Tân Hòa Đông, Phường 14, Quận 6, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2,5 tỷ","Đường Tháp Mười, Phường 2, Quận 6, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
"30,5 tỷ","Đường Mai Xuân Thưởng, Phường 2, Quận 6, TP.HCM",Nhà mặt tiền,"73,4 m² (8,0x10,2)",9 phòng,8 WC,N/A,N/A,N/A,Sổ hồng
"15,3 tỷ","285, Đường Trần Văn Kiểu, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"75,8 m² (4,0x19,5)",N/A,N/A,5,Đông Nam,Đông Nam,Sổ hồng
"3,1 tỷ","Đường Hậu Giang, Phường 11, Quận 6, TP.HCM","Nhà hẻm, ngõ","32 m² (4,5x7,0)",3 phòng,2 WC,1,Tây,Tây,Sổ hồng
"8,9 tỷ","Đường Bình Phú 1, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"64 m² (4,0x16,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
18 tỷ,"Đường 23, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"90 m² (4,5x20,0)",8 phòng,8 WC,N/A,N/A,N/A,Sổ hồng
"18,5 tỷ","Đường Hậu Giang, Phường 12, Quận 6, TP.HCM",Nhà mặt tiền,"112 m² (4,0x28,0)",4 phòng,2 WC,3,Nam,Nam,Sổ hồng
2 tỷ,"Đường Kinh Dương Vương, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","40 m² (4,0x10,0)",2 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
"3,99 tỷ","Đường Phạm Văn Chí, Phường 7, Quận 6, TP.HCM","Nhà hẻm, ngõ","30 m² (3,0x10,0)",3 phòng,2 WC,N/A,Đông Nam,Đông Nam,Sổ hồng
"12,5 tỷ","Đường Bình Phú 1, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"64 m² (4,0x16,0)",4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"6,98 tỷ","Đường Cư xá Phú Lâm A, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","74,5 m² (4,3x18,0)",4 phòng,4 WC,N/A,N/A,Đông,Sổ hồng
"8,2 tỷ","Đường Hồng Bàng, Phường 1, Quận 6, TP.HCM","Nhà hẻm, ngõ","48 m² (3,4x15,0)",4 phòng,3 WC,N/A,N/A,Đông,Sổ hồng
95 tỷ,"Đường Chợ Lớn, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"675 m² (15,0x45,0)",2 phòng,1 WC,1,Nam,Nam,Sổ đỏ
"6,5 tỷ","Đường Phạm Văn Chí, Phường 8, Quận 6, TP.HCM","Nhà hẻm, ngõ","44 m² (4,0x11,0)",4 phòng,3 WC,3,Tây Nam,Tây Nam,Sổ hồng
"8,5 tỷ","233, Đường Văn Thân, Phường 7, Quận 6, TP.HCM",Nhà mặt tiền,"54,5 m² (9,7x6,0)",2 phòng,2 WC,1,N/A,Đông Nam,Sổ hồng
42 tỷ,"243, Đường 26, Phường 10, Quận 6, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"3,5 tỷ","Đường Phạm Văn Chí, Phường 8, Quận 6, TP.HCM","Nhà hẻm, ngõ","58 m² (4,5x13,0)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
"26,5 tỷ","4, Đường Phạm Đình Hổ, Phường 1, Quận 6, TP.HCM",Nhà mặt tiền,"79,8 m² (4,2x19,0)",N/A,N/A,3,Tây Nam,Tây Nam,Sổ hồng
"12,7 tỷ","Đường Chợ Lớn, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"72 m² (4,5x18,0)",4 phòng,5 WC,3,Nam,Nam,Sổ hồng
