Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"10,9 tỷ","HXH, Đường Nguyễn Thị Huỳnh, Phường 8, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","55 m² (3,9x13,6)",7 phòng,7 WC,4,N/A,N/A,Sổ hồng
"1,78 tỷ","Đường Trần Hữu Trang, Phường 11, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","49 m² (3,8x13,0)",3 phòng,4 WC,2,N/A,N/A,Sổ hồng
"3,95 tỷ","Đường Hoa Lan, Phường 2, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","64 m² (4,0x16,0)",4 phòng,3 WC,2,N/A,N/A,Sổ hồng
"8,9 tỷ","139, Đường Nguyễn Thượng Hiền, Phường 5, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"71 m² (1,7x20,0)",3 phòng,3 WC,2,N/A,N/A,Sổ hồng
"2,98 tỷ","Đường Đoàn Thị Điểm, Phường 1, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","60 m² (5,0x12,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"9,9 tỷ","Đường Hoàng Hoa Thám, Phường 5, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","75 m² (4,0x18,5)",4 phòng,4 WC,4,N/A,N/A,Sổ hồng
23 tỷ,"Đường Nguyễn Trọng Tuyển, Phường 15, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",6 phòng,6 WC,4,N/A,N/A,Sổ hồng
"4,45 tỷ","45/2, Đường Nhiêu Tứ, Phường 7, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","24 m² (5,1x4,7)",2 phòng,2 WC,3,N/A,N/A,Sổ hồng
"3,25 tỷ","Đường Trần Huy Liệu, Phường 9, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",30 m²,3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"37,5 tỷ","Đường Lê Văn Sỹ, Phường 10, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","180 m² (8,0x23,0)",5 phòng,6 WC,3,N/A,N/A,Sổ hồng
"2,8 tỷ","74/3/17, Đường Phan Đăng Lưu, Phường 5, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",18 m²,2 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"2,2 tỷ","Đường Nguyễn Kiệm, Phường 4, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","10,8 m²",2 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"11,5 tỷ","82, Đường số 7, Phường 4, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"86 m² (4,3x20,0)",N/A,N/A,3,N/A,N/A,Sổ hồng
"7,8 tỷ","524/11 Phan Xich Long, Đường Phan Xích Long, Phường 3, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","42 m² (2,7x16,0)",5 phòng,5 WC,4,Đông Nam,Đông Nam,Sổ hồng
"2,55 tỷ","Đường Phan Đăng Lưu, Phường 5, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","58 m² (4,0x15,0)",4 phòng,5 WC,4,N/A,N/A,Sổ hồng
"32,9 tỷ","Đường Đào Duy Anh, Phường 9, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"122 m² (8,0x15,5)",8 phòng,8 WC,4,N/A,N/A,Sổ hồng
"2,05 tỷ","Đường Nguyễn Trọng Tuyển, Phường 15, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","28 m² (7,0x4,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ đỏ
"2,62 tỷ","Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","55 m² (5,0x11,0)",3 phòng,2 WC,2,N/A,N/A,Sổ hồng
"2,18 tỷ","Đường Trần Hữu Trang, Phường 10, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","50,4 m² (4,2x12,0)",3 phòng,4 WC,2,N/A,N/A,Sổ hồng
"10,5 tỷ","Đường Phan Đình Phùng, Phường 2, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"49 m² (3,0x16,0)",7 phòng,7 WC,4,N/A,Đông Nam,Sổ hồng
"3,39 tỷ","Đường Hồ Văn Huê, Phường 9, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,60 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"14,8 tỷ","177, Đường Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"34,1 m² (3,4x11,4)",N/A,N/A,4,Bắc,Bắc,Sổ hồng
"4,1 tỷ","Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","65 m² (4,0x16,5)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"16,6 tỷ","64, Đường Đào Duy Anh, Phường 9, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"66 m² (4,0x16,5)",4 phòng,5 WC,4,Tây Nam,Tây Nam,Sổ hồng
"3,42 tỷ","Đường Hoàng Hoa Thám, Phường 5, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","57 m² (4,5x12,6)",4 phòng,5 WC,2,N/A,N/A,Sổ hồng
"5,5 tỷ","Đường Nguyễn Đình Chính, Phường 15, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","40 m² (4,0x13,0)",3 phòng,3 WC,2,N/A,N/A,Sổ hồng
"13,95 tỷ","Đường Phan Xích Long, Phường 7, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","150 m² (7,0x24,0)",4 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"3,75 tỷ","Đường Nguyễn Trọng Tuyển, Phường 8, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","25 m² (5,0x5,0)",1 phòng,1 WC,2,N/A,N/A,Sổ hồng
"2,5 tỷ","Đường Đoàn Thị Điểm, Phường 9, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"51,6 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,18 tỷ","Đường Hoa Cúc, Phường 2, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",2 phòng,3 WC,1,N/A,N/A,Sổ hồng
4 tỷ,"Đường Cô Bắc, Phường 1, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","20 m² (4,0x5,0)",2 phòng,3 WC,4,N/A,N/A,Sổ hồng
"7,3 tỷ","Đường Phan Đình Phùng, Phường 17, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","49 m² (3,4x14,3)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"9,6 tỷ","Đường Hoàng Hoa Thám, Phường 5, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","75 m² (4,0x20,0)",4 phòng,4 WC,4,N/A,N/A,Sổ hồng
